2.222411814793226e-001,	9.367626e-001,
2.226167171626869e-001,	8.428488e-001,
2.231049984126869e-001,	6.608140e-001,
2.235473634317625e-001,	4.455158e-001,
2.240044316534226e-001,	1.859355e-001,
2.244927129034226e-001,	-1.070162e-001,
2.249354987489002e-001,	-3.641996e-001,
2.254211557892763e-001,	-6.140410e-001,
2.258604577019936e-001,	-7.925055e-001,
2.263043122433412e-001,	-9.207648e-001,
2.264994526814989e-001,	-9.562290e-001,
2.266563842206849e-001,	-9.707997e-001,
2.268148516114205e-001,	-9.748713e-001,
2.269960174297369e-001,	-9.666698e-001,
2.272277822482555e-001,	-9.352688e-001,
2.276032847394955e-001,	-8.415577e-001,
2.280915659894955e-001,	-6.598603e-001,
2.285338763850333e-001,	-4.448774e-001,
2.289967950659372e-001,	-1.823025e-001,
2.294850763159372e-001,	1.101529e-001,
2.299286744620862e-001,	3.671381e-001,
2.304159011369757e-001,	6.167430e-001,
2.308552673488717e-001,	7.940538e-001,
2.312991658427716e-001,	9.211856e-001,
2.314891597412274e-001,	9.552882e-001,
